"日期","最新","开盘","高","低","百分比变化"
"2017年9月23日","3,779.60","3,598.70","3,808.00","3,559.10","5.03"
"2017年9月22日","3,598.50","3,597.30","3,743.60","3,493.50","-0.14"
"2017年9月21日","3,603.40","3,875.50","3,903.70","3,564.40","-6.97"
"2017年9月20日","3,873.20","3,892.20","4,048.00","3,834.10","-0.69"
"2017年9月19日","3,900.00","4,084.40","4,110.00","3,836.20","-4.51"
"2017年9月18日","4,084.10","3,667.00","4,113.90","3,667.00","11.40"
"2017年9月17日","3,666.30","3,680.10","3,775.90","3,476.30","-0.52"
"2017年9月16日","3,685.40","3,697.10","3,874.00","3,511.10","-0.34"
"2017年9月15日","3,698.00","3,237.40","3,809.00","2,981.00","14.20"
"2017年9月14日","3,238.10","3,850.20","3,917.20","3,206.20","-15.89"
"2017年9月13日","3,849.70","4,149.40","4,159.60","3,734.00","-7.08"
"2017年9月12日","4,142.90","4,198.90","4,378.40","4,055.50","-1.43"
"2017年9月11日","4,203.00","4,234.90","4,373.10","4,123.00","-0.69"
"2017年9月10日","4,232.10","4,315.40","4,325.00","3,975.80","-1.99"
"2017年9月9日","4,317.90","4,304.00","4,381.20","4,159.40","0.28"
"2017年9月8日","4,305.80","4,613.50","4,686.20","4,107.10","-6.67"
"2017年9月7日","4,613.50","4,594.60","4,672.80","4,465.30","0.53"
"2017年9月6日","4,589.10","4,375.00","4,631.40","4,361.40","4.90"
"2017年9月5日","4,374.90","4,210.60","4,469.90","3,900.10","4.15"
"2017年9月4日","4,200.40","4,599.20","4,606.00","4,056.50","-8.59"
"2017年9月3日","4,595.00","4,534.20","4,699.80","4,331.00","1.34"
"2017年9月2日","4,534.40","4,911.80","4,969.00","4,400.50","-7.55"
"2017年9月1日","4,904.90","4,718.30","4,927.40","4,660.70","3.96"
"2017年8月31日","4,718.20","4,567.90","4,749.90","4,567.90","3.27"
"2017年8月30日","4,569.00","4,586.60","4,641.10","4,481.10","-0.39"
"2017年8月29日","4,587.10","4,385.10","4,644.20","4,336.70","4.64"
"2017年8月28日","4,383.80","4,330.70","4,395.20","4,175.70","1.20"
"2017年8月27日","4,331.80","4,340.20","4,405.70","4,305.00","-0.23"
"2017年8月26日","4,341.70","4,351.50","4,364.00","4,243.60","-0.23"
"2017年8月25日","4,351.50","4,324.10","4,461.20","4,277.40","0.61"
"2017年8月24日","4,325.20","4,135.00","4,370.80","4,093.00","4.75"
"2017年8月23日","4,129.10","4,086.90","4,248.60","4,055.90","1.35"
"2017年8月22日","4,074.00","3,998.90","4,140.00","3,600.00","1.79"
"2017年8月21日","4,002.50","4,066.30","4,093.50","3,956.40","-1.52"
"2017年8月20日","4,064.30","4,145.00","4,192.00","4,040.90","-1.95"
"2017年8月19日","4,145.10","4,088.20","4,184.10","3,920.00","1.34"
"2017年8月18日","4,090.20","4,269.70","4,359.00","3,957.00","-3.99"
"2017年8月17日","4,260.00","4,386.40","4,489.10","4,178.10","-2.88"
"2017年8月16日","4,386.30","4,160.00","4,403.60","3,928.10","5.65"
"2017年8月15日","4,151.90","4,321.00","4,430.00","3,841.90","-3.88"
"2017年8月14日","4,319.50","4,061.60","4,330.30","3,969.30","6.57"
"2017年8月13日","4,053.30","3,866.20","4,183.70","3,836.10","4.86"
"2017年8月12日","3,865.50","3,643.40","3,965.40","3,590.00","6.08"
"2017年8月11日","3,644.10","3,404.70","3,690.60","3,380.00","6.93"
"2017年8月10日","3,407.90","3,340.20","3,444.40","3,310.00","2.04"
"2017年8月9日","3,339.90","3,415.00","3,424.40","3,236.80","-2.20"
"2017年8月8日","3,415.00","3,395.00","3,482.90","3,343.80","0.54"
"2017年8月7日","3,396.70","3,232.50","3,440.00","3,190.00","5.23"
"2017年8月6日","3,227.90","3,255.00","3,309.80","3,156.00","-0.88"
"2017年8月5日","3,256.40","2,860.00","3,331.90","2,855.00","13.86"
"2017年8月4日","2,860.00","2,790.30","2,874.80","2,762.60","2.50"
"2017年8月3日","2,790.30","2,702.00","2,813.00","2,698.00","3.27"
"2017年8月2日","2,702.00","2,733.80","2,757.80","2,640.00","-1.07"
"2017年8月1日","2,731.20","2,854.30","2,901.60","2,615.80","-4.37"
"2017年7月31日","2,856.00","2,748.90","2,883.50","2,694.80","3.89"
"2017年7月30日","2,749.00","2,713.70","2,756.20","2,595.00","1.29"
"2017年7月29日","2,714.10","2,784.80","2,794.20","2,662.60","-2.54"
"2017年7月28日","2,784.80","2,664.60","2,819.90","2,655.50","4.50"
"2017年7月27日","2,664.90","2,527.74","2,682.20","2,511.00","5.51"
"2017年7月26日","2,525.70","2,560.90","2,612.00","2,404.60","-1.37"
